way_id,building,building:levels,height
274372025,yes,1,-
274372026,yes,1,-
274372028,yes,1,-
274372029,yes,1,-
274372030,yes,1,-
274372031,yes,1,-
274372032,yes,1,-
274372034,yes,1,-
274372036,yes,1,-
274372038,yes,1,-
274372039,yes,1,-
274375287,house,2,-
274402344,yes,2,-
274457876,apartments,6,-
274465295,yes,2,-
274480572,yes,3,-
274860226,warehouse,2,-
274878501,industrial,1,-
274986454,yes,1,-
275116087,yes,2,-
275116089,yes,2,-
276308945,apartments,5,-
276308985,apartments,5,-
276308986,apartments,5,-
279275992,commercial,2,-
279933099,yes,1,-
281980463,apartments,25,-
281980464,apartments,21,-
282286844,industrial,2,-
282286847,industrial,-,15
282614518,yes,2,-
282615382,apartments,4,-
282615383,apartments,4,-
282615384,apartments,4,-
282615385,apartments,4,-
282615387,apartments,4,-
282615388,apartments,4,-
282615389,apartments,4,-
282615390,apartments,4,-
282615391,apartments,4,-
282615530,apartments,10,-
283016279,apartments,14,-
284866745,warehouse,2,-
286615075,apartments,12,-
288925162,commercial,2,-
288926091,apartments,9,-
288988191,commercial,7,-
289424090,commercial,10,-
289910666,apartments,4,-
289910667,apartments,4,-
289910668,apartments,4,-
289910669,apartments,4,-
289910670,apartments,4,-
289910671,apartments,4,-
289910672,apartments,7,-
289910673,apartments,4,-
289910674,apartments,4,-
289910675,apartments,4,-
289910676,apartments,4,-
289910677,apartments,4,-
289910678,apartments,4,-
296213256,apartments,6,-
296213259,apartments,3,-
296213260,apartments,3,-
296213266,apartments,3,-
296213267,apartments,3,-
296213271,apartments,3,-
296302273,yes,18,-
296302276,yes,19,-
296302277,yes,19,-
296302279,yes,22,-
296302280,yes,23,-
296302282,apartments,16,-
296302284,apartments,19,-
296302287,apartments,23,-
298985047,yes,2,-
298986393,university,4,-
312465297,apartments,11,-
312465298,apartments,11,-
313292627,yes,3,-
313489304,university,4,-
313489307,yes,1,-
313489308,yes,2,-
313490849,yes,5,-
315363262,apartments,22,-
315969286,apartments,13,-
315969287,apartments,13,-
316979510,apartments,20,-
316985606,apartments,24,-
316986325,apartments,16,-
316986336,apartments,16,-
319557807,yes,10,-
320514581,university,2,-
320514585,university,2,-
320523906,office,13,-
324544296,house,2,-
324544297,house,2,-
324544298,house,2,-
324544300,house,2,-
324544303,house,2,-
324544304,house,2,-
324544305,house,2,-
324544306,house,2,-
324544307,house,2,-
324544308,house,2,-
324544309,house,2,-
324544310,house,2,-
324544311,house,2,-
324544313,house,2,-
324544314,house,2,-
324544315,house,2,-
324544317,house,2,-
324544318,house,2,-
324544319,house,2,-
324544320,house,2,-
324544321,house,2,-
324544322,house,2,-
324544323,house,2,-
324544324,house,2,-
324544325,house,2,-
324544326,house,2,-
324544327,house,2,-
324550503,house,2,-
324550504,house,2,-
324550505,house,2,-
324550506,house,2,-
324550507,house,2,-
324550508,house,2,-
324550510,house,2,-
324550511,house,2,-
324550512,house,2,-
324550514,house,2,-
324550516,house,2,-
324550518,house,2,-
324550519,house,2,-
324550520,house,2,-
324550521,house,2,-
324550522,house,2,-
324550523,house,2,-
324550524,house,2,-
324550525,house,2,-
324550526,house,2,-
324550527,house,2,-
324550528,house,2,-
324550529,house,2,-
324550530,house,2,-
324550531,house,2,-
324550532,house,2,-
324550533,house,2,-
324550534,house,2,-
324550535,house,2,-
324550536,house,2,-
324550537,house,2,-
324550538,house,2,-
332224097,yes,2,-
332224099,yes,3,-
332224110,yes,2,-
332224120,yes,4,-
332224130,hospital,8,-
332224160,school,2,-
332224163,yes,5,12
332359470,yes,4,-
332359520,apartments,13,-
332399516,retail,1,-
332402515,house,2,-
332402519,commercial,1,-
332406517,office,12,-
332410007,retail,2,-
332410690,apartments,11,-
332410691,apartments,13,-
332410696,house,1,-
332410712,house,1,-
332410719,house,1,-
332410721,house,1,-
332410724,yes,2,-
332625394,yes,3,-
332703924,hotel,6,-
333169035,yes,4,-
333169040,yes,6,-
333169047,apartments,26,-
333169056,apartments,21,-
333171839,apartments,-,80
333171846,office,22,-
333210757,yes,-,9
333210764,school,5,-
333369721,apartments,15,-
333369724,yes,2,-
333369725,commercial,3,-
333369726,commercial,3,-
333369728,commercial,3,-
333369739,commercial,2,-
333369754,commercial,3,-
333369755,commercial,5,-
333369758,commercial,7,-
333586415,apartments,12,-
333920027,commercial,4,-
334581641,commercial,8,-
334923384,university,3,-
334923386,commercial,11,-
334923390,yes,6,-
335038411,yes,3,-
335509643,commercial,3,-
335509663,apartments,14,-
335509666,commercial,3,-
335509667,commercial,3,-
335509668,commercial,3,-
335509676,commercial,8,-
335509680,commercial,3,-
335511749,apartments,5,-
335511750,apartments,5,-
335511751,apartments,5,-
335511755,commercial,3,-
335512681,commercial,9,-
338912679,university,3,-
339016987,apartments,13,-
339016988,civic,2,-
339016989,apartments,6,-
339016990,apartments,10,-
339016991,apartments,12,-
339016992,apartments,5,-
342070722,apartments,7,-
342070723,apartments,5,-
342070724,apartments,20,-
342070726,apartments,4,-
343506914,apartments,12,-
344395658,residential,5,-
344395659,residential,5,-
344395660,residential,5,-
344395661,residential,5,-
344395662,residential,5,-
344395663,residential,5,-
344395664,residential,5,-
345278713,apartments,9,-
346385192,yes,3,-
346385194,yes,5,-
346385752,yes,5,-
348723243,civic,7,-
351036956,house,1,-
351037048,detached,2,-
351052890,yes,1,-
351512394,house,1,-
355385432,university,4,-
355830459,yes,2,-
355830478,school,2,-
356051338,apartments,6,-
356648475,apartments,17,-
357901521,warehouse,-,15
358225793,yes,5,-
358225801,yes,4,-
358227033,yes,4,-
358228707,apartments,7,-
358412845,apartments,30,-
358424000,house,3,-
360431841,apartments,4,-
361359219,apartments,15,-
361359220,apartments,15,-
362684370,apartments,15,-
363395366,apartments,5,-
363396870,apartments,15,-
363396871,apartments,16,-
363396872,apartments,13,-
363396873,apartments,13,-
363397083,apartments,7,-
363397216,apartments,6,-
363397348,apartments,7,-
363988093,apartments,11,-
364250002,house,1,-
364250004,house,1,-
364250006,house,1,-
364250009,house,2,-
364250013,house,1,-
364251132,house,2,-
364251133,house,1,-
364251134,house,1,-
364251135,house,1,-
364251136,house,2,-
364251137,house,1,-
364251138,house,1,-
364251139,house,1,-
369918126,commercial,1,-
370204554,warehouse,2,-
370220796,yes,4,-
370224152,yes,2,-
370226661,commercial,2,-
370584292,yes,2,-
370617473,yes,2,-
370618683,commercial,1,-
370631060,warehouse,2,-
370631061,residential,4,-
370631062,yes,2,-
370631063,commercial,2,-
370634199,yes,6,-
370641831,yes,13,-
370641838,commercial,2,-
370647347,yes,6,-
370949050,apartments,4,-
370999031,apartments,7,-
370999032,apartments,7,-
371651622,house,2,-
371651624,house,1,-
371651626,house,2,-
371651628,house,1,-
371651629,house,1,-
371651630,house,1,-
371651631,industrial,2,-
371651632,house,1,-
371651633,house,1,-
371651634,house,2,-
371651635,house,1,-
371651636,house,1,-
371651637,house,1,-
371651638,house,1,-
371651639,house,1,-
371651640,house,2,-
371651641,house,1,-
371651642,house,1,-
374334919,apartments,4,-
374334920,apartments,4,-
374748942,school,-,10
374972613,apartments,17,-
374972614,apartments,18,-
375013267,house,1,-
375013280,house,2,-
375013281,house,1,-
375013282,office,2,-
375013283,house,1,-
375013284,house,1,-
375013285,house,1,-
375013286,house,2,-
375013288,house,1,-
375013289,house,2,-
375013290,house,2,-
375013291,house,2,-
375013292,yes,2,-
375013293,house,2,-
375013294,school,2,-
375013295,yes,2,-
375013296,house,1,-
375013297,house,2,-
375171723,industrial,1,-
377317065,apartments,4,-
377317066,apartments,4,-
377538757,apartments,17,-
377544437,yes,2,-
377545795,yes,3,-
378056688,yes,3,-
379178558,apartments,7,-
379178560,apartments,7,-
379178561,apartments,7,-
379178562,apartments,7,-
379178563,apartments,7,-
379178564,apartments,7,-
379178565,apartments,7,-
379178569,apartments,8,-
379178571,apartments,8,-
379178573,apartments,8,-
379178574,apartments,8,-
379178575,apartments,8,-
379178576,apartments,8,-
379178578,apartments,8,-
379178579,apartments,8,-
379178580,apartments,13,-
379226565,apartments,17,-
379226566,apartments,17,-
380701113,apartments,24,-
380701114,apartments,24,-
381808202,apartments,16,-
382308820,apartments,5,-
382308825,apartments,10,-
382322919,apartments,7,-
382322921,apartments,7,-
382322923,apartments,7,-
382322924,apartments,7,-
382322927,apartments,7,-
382322930,apartments,7,-
382330147,apartments,13,-
382449774,industrial,3,-
382449818,apartments,5,-
382449823,apartments,5,-
382449826,apartments,5,-
383804237,apartments,10,-
385207331,apartments,24,-
387026605,apartments,6,-
389213111,apartments,5,-
390136802,historic,5,-
391273175,apartments,21,-
391273176,university,8,-
393282825,yes,3,-
398256131,office,16,-
398256134,apartments,6,-
400901767,office,2,-
400903713,hotel,2,-
401194386,apartments,4,-
402548729,house,1,-
402548730,house,2,-
402762648,apartments,6,-
402762649,apartments,6,-
402762650,apartments,6,-
402762651,apartments,6,-
402762652,apartments,6,-
402762653,apartments,6,-
402920356,apartments,4,-
404091593,apartments,11,-
404091594,apartments,13,-
404091595,apartments,9,-
405119602,office,1,-
405119603,house,1,-
405119604,house,1,-
405119605,house,1,-
405119607,house,2,-
405119608,house,2,-
405119609,yes,1,-
405119610,industrial,1,-
405119611,industrial,1,-
405119612,house,1,-
405119613,house,1,-
405119614,house,1,-
405119615,house,1,-
405119616,house,1,-
405119618,house,1,-
405119619,house,1,-
405933317,house,2,-
405933318,house,2,-
405933320,house,1,-
405933321,house,1,-
405933322,house,1,-
405933324,school,3,-
405933326,hotel,2,-
405933328,house,2,-
405933329,house,1,-
405933330,house,1,-
405933331,house,1,-
405933332,house,2,-
405933333,house,1,-
405933334,house,1,-
405942722,house,1,-
405942723,apartments,4,-
405942724,apartments,4,-
405942725,apartments,4,-
405942728,house,1,-
405942729,house,2,-
405942730,house,2,-
405942731,house,2,-
405942732,office,1,-
405942733,house,2,-
405942734,house,2,-
405942735,house,1,-
405942741,house,1,-
405942743,house,2,-
405942747,yes,2,-
405942749,house,1,-
405942751,house,1,-
405942752,house,1,-
405942753,house,2,-
405942754,house,1,-
406007321,kindergarten,2,-
406007326,house,2,-
406007332,school,2,-
406007335,house,2,-
406007336,house,2,-
406007337,house,2,-
406007338,house,2,-
406007339,house,1,-
406007343,house,2,-
406007345,house,2,-
406007347,house,1,-
406007348,house,2,-
406007349,house,2,-
406007350,house,1,-
406007353,house,2,-
406773394,apartments,4,-
406773405,yes,-,10
407987720,house,2,-
407987721,house,1,-
407987722,house,1,-
407987723,house,1,-
407987724,house,2,-
407987725,house,2,-
407987726,house,2,-
407987727,house,2,-
407987728,house,1,-
407987729,house,1,-
407987730,house,1,-
407987731,house,1,-
408016788,apartments,7,-
408075255,house,1,-
408075256,house,1,-
408075257,house,1,-
408075258,house,1,-
408075259,house,1,-
408075260,house,1,-
408075261,house,1,-
408075262,house,1,-
408075263,house,2,-
408075265,house,1,-
408075266,house,2,-
408075267,house,1,-
408075268,house,1,-
408075269,house,2,-
408075270,house,1,-
408075271,house,2,-
408075272,house,2,-
408075273,house,1,-
408075274,house,1,-
408075275,house,1,-
408075276,house,1,-
408075277,house,1,-
408075278,house,1,-
408075279,house,2,-
408075280,house,2,-
408075281,house,1,-
408075282,house,2,-
408075283,house,1,-
408075284,house,2,-
408075285,house,2,-
408075286,house,2,-
408075288,house,1,-
408075289,house,2,-
408075290,house,1,-
408631458,house,2,-
408631459,house,2,-
408631461,house,2,-
408631462,house,2,-
408631466,yes,2,-
408694758,office,1,-
409554324,house,1,-
409554325,house,2,-
409554326,house,1,-
409554327,house,1,-
409554328,house,1,-
409554329,house,1,-
409554330,house,1,-
409554331,house,2,-
409554333,house,1,-
409554334,house,2,-
409554335,house,2,-
409554337,house,2,-
409554338,house,1,-
409554339,house,2,-
409554340,house,2,-
409554341,house,2,-
409554342,house,2,-
409554343,house,1,-
409554344,house,1,-
409554345,house,2,-
409554346,house,2,-
409554348,house,1,-
409554350,house,1,-
409554352,house,1,-
409554354,house,1,-
409554355,house,1,-
409554356,house,1,-
409554357,house,2,-
409554358,house,1,-
409554359,house,2,-
409554360,house,1,-
409554361,house,1,-
409554362,house,1,-
409554363,house,1,-
409554364,house,1,-
409554365,house,1,-
409554366,house,2,-
409554367,house,1,-
409554368,house,2,-
409554369,house,2,-
409554370,house,1,-
410099230,house,2,-
410099233,house,1,-
410099247,house,1,-
410099250,house,2,-
410099256,yes,2,-
410099264,yes,1,-
410099268,office,1,-
410099278,house,2,-
410099282,house,1,-
410099286,house,1,-
410099301,retail,2,-
410099308,retail,1,-
410099310,retail,2,-
410099313,house,2,-
411718990,house,2,-
411718991,house,1,-
411718995,house,1,-
411718996,house,2,-
411718997,house,2,-
411718998,house,2,-
411718999,house,2,-
411719000,house,1,-
411719002,house,2,-
411719004,house,1,-
411719008,house,1,-
411719009,house,2,-
411719011,house,2,-
411719013,house,2,-
411719015,house,1,-
411719016,house,2,-
411719017,house,1,-
411719018,house,1,-
411719019,house,1,-
411719020,house,2,-
411719021,house,3,-
411719022,house,1,-
411719023,house,2,-
411719024,house,2,-
411719026,house,2,-
411719028,house,3,-
411719032,house,1,-
411719034,house,1,-
411719036,house,1,-
411719038,house,1,-
411879785,house,1,-
411879786,yes,2,-
411879787,house,2,-
411879788,house,1,-
411879789,house,1,-
411879790,house,2,-
411879791,house,1,-
411879792,house,2,-
411879794,house,2,-
411879795,house,1,-
411879796,house,2,-
411882484,house,1,-
411882485,house,3,-
411882486,house,2,-
411882487,house,1,-
411882488,house,2,-
411882489,house,1,-
411882491,house,2,-
411882492,house,2,-
411882493,house,2,-
411882495,office,2,-
411882496,house,2,-
411884866,school,1,-
411884868,house,1,-
411884869,house,1,-
411884870,house,1,-
411884872,office,1,-
411884873,office,1,-
412992319,yes,1,-
413120494,house,1,-
413120495,house,1,-
413120496,house,2,-
413120497,house,2,-
413120498,house,2,-
413120499,house,2,-
413120500,house,2,-
413120501,house,1,-
413120502,house,1,-
413120503,house,2,-
413120504,house,1,-
413120505,yes,1,-
413120506,house,1,-
413120507,house,2,-
413120508,house,2,-
413120509,house,1,-
413120510,house,1,-
413120511,house,1,-
413120512,house,2,-
413120513,house,1,-
413120514,house,1,-
413120515,house,2,-
413120516,house,2,-
413120517,house,1,-
413120518,school,2,-
413120519,school,2,-
413120520,school,2,-
413120521,school,2,-
413122310,school,2,-
413175159,house,2,-
413175160,house,2,-
413175161,house,2,-
413175162,house,2,-
413175163,house,2,-
413175164,house,2,-
413175167,retail,1,-
413175170,house,2,-
413175172,house,2,-
413202484,retail,2,-
413202485,retail,2,-
413210466,retail,1,-
413210472,house,1,-
413447238,yes,2,-
414447407,office,2,-
414447410,apartments,2,-
414447411,retail,1,-
414447412,yes,2,-
414447415,house,2,-
414447416,house,1,-
414447417,yes,2,-
414447418,house,2,-
414447423,house,1,-
414447424,house,2,-
414447425,house,2,-
414447426,house,1,-
414510747,commercial,5,-
414510750,commercial,2,-
414510752,commercial,2,-
414510753,commercial,2,-
414510756,commercial,2,-
414520961,yes,1,-
414520962,commercial,3,-
414520963,retail,2,-
414520964,house,2,-
414570046,house,2,-
414570047,house,1,-
414570048,house,1,-
